DATE_TIME ,VOLT,AMPERE,POWER,IRRADIANCE
08/04/2024 13:00,12.45,2.837,35.3,189.2
08/04/2024 14:00,12.97,4.404,57.1,293.6
08/04/2024 15:00,12.46,2.892,36.0,192.8
08/04/2024 16:00,12.28,2.338,28.7,155.9
08/04/2024 17:00,12.18,2.016,24.5,134.4
08/04/2024 18:00,11.21,0.440,4.9,019.5
08/04/2024 19:00,00.00,00.00,0,00.00
09/04/2024 07:00,11.77,1.132,13.3,075.5
09/04/2024 08:00,12.40 ,2.686,33.3,179.1
09/04/2024 09:00,12.78,3.847,49.1,256.5
09/04/2024 10:00,12.82  ,3.972,50.9,264.8
09/04/2024 11:00,13.41,5.749,77.0,383.3
09/04/2024 12:00,13.79 ,7.038,97.0,469.2
09/04/2024 13:00,14.36 ,8.094,116.2,539.6
09/04/2024 14:00,14.70 ,8.664,127.3,577.6
09/04/2024 15:00,12.98,4.453,57.7,296.9
09/04/2024 16:00,12.51 ,3.025,37.8,201.7
09/04/2024 17:00,11.14,0.180,2.0,012.0
09/04/2024 18:00,11.11,0.013,0.1,009.0
09/04/2024 19:00,00.00,00.00,0,00.00
10/04/2024 07:00,11.53,0.769,8.8,051.3
10/04/2024 08:00,12.28,2.333,28.6,155.6
10/04/2024 09:00,12.42,2.754,34.2,183.6
10/04/2024 10:00,13.36,5.585,74.6,372.4
10/04/2024 11:00,13.13,4.085,53.6,320.4
10/04/2024 12:00,13.14,4.804,63.1,320.3
10/04/2024 13:00,12.93,4.274,55.2,285.0
10/04/2024 14:00,12.45,2.822,35.1,188.2
10/04/2024 15:00,12.60,3.289,41.4,219.3
10/04/2024 16:00,12.20,2.097,25.5,139.8
10/04/2024 17:00,11.61,0.897,10.4,059.8
10/04/2024 18:00,11.10,0.012,0.1,008.9
10/04/2024 19:00,00.00,00.00,0,00.00
11/04/2024 07:00,11.53,0.769,8.8,051.3
11/04/2024 08:00,12.28,2.333,28.6,155.6
11/04/2024 09:00,12.42,2.754,34.2,183.6
11/04/2024 10:00,13.36,5.585,74.6,372.4
11/04/2024 11:00,13.13,4.805,63.0,320.4
11/04/2024 12:00,13.12,4.804,63.0,320.3
11/04/2024 13:00,12.93,4.274,55.2,285.0
11/04/2024 14:00,12.45,2.822,35.1,188.2
11/04/2024 15:00,12.60,3.289,41.4,219.3
11/04/2024 16:00,12.20,2.097,25.5,139.8
11/04/2024 17:00,11.60,0.897,10.4,059.8
11/04/2024 18:00,11.11,0.012,0.1,009.9
11/04/2024 19:00,00.00,00.00,0,00.00
